titulo,año,premios_ganados,nominaciones,detalle_premios
Spider-Man: Cruzando el Multiverso,2023,25,40+,"🏆 Annie (7), Critics Choice, Saturn, Imagen, NBR, Online Critics, VES, ASCAP, Eddie, PGA, AFI. 🎯 Oscar, BAFTA, GG."
Robot salvaje,2024,12,20+,"🏆 Annie (Película, Dirección, Diseño, Música, Efectos, Doblaje), Critics Choice, Saturn, Artios, PGA, Greenpeace, KCFCC. 🎯 Oscar (3), BAFTA (3), Globo de Oro (4), etc."
El Gato con Botas: El último deseo,2022,8,,"🏆 Imagen (2), Annie (Storyboard), VES, MNFCA, VHS. 🎯 Oscar, BAFTA, Golden Globe, Critics Choice, Saturn, PGA, Annie (5), Artios, C.A.S., HFCS, y más."
Una chica del siglo XX,2022,0,2,🎯 Baeksang: Nominación Mejor Actor Revelación. Buil Film Awards: nominación en categoría juvenil.
"Flow, un mundo que salvar",2024,4,6+,"🏆 Guadalajara, Ottawa, Annecy (🎵 Música), Animation Is Film (🎖 Jurado, Público). 🎯 Oscar (2), Cannes (Selección Oficial), Annecy."
Top Gun: Maverick,2022,1,10+,"🏆 Oscar (Sonido). 🎯 Oscar (6), Globo de Oro, BAFTA (2), Critics Choice."
Dune: Parte dos,2024,8,20+,"🏆 Oscar (Sonido, Efectos), Saturn (5), BAFTA (varias técnicas). 🎯 Oscar (5), Globo de Oro, Critics, Saturn (14)."
Oppenheimer,2023,27,40+,"🏆 Oscar (7), Globo de Oro (5), Critics Choice (8), BAFTA (7). 🎯 Nominaciones históricas en múltiples premios."
Corazones malheridos,2022,0,0,😢 No ha recibido premios ni nominaciones destacadas.
"Rojo, blanco y sangre azul",2023,0,0,😢 No cuenta con premios ni nominaciones importantes registradas.
